Time,Available,Type
2019-09-17 11:00:00+00:00,139,Low
2019-09-18 11:00:00+00:00,158,Low
2019-09-19 11:00:00+00:00,161,Low
2019-09-20 11:00:00+00:00,147,Low
2019-09-21 11:00:00+00:00,134,Low
2019-09-22 11:00:00+00:00,113,Low
2019-09-23 11:00:00+00:00,126,Low
2019-09-24 11:00:00+00:00,139,Low
2019-09-25 11:00:00+00:00,139,Low
2019-09-26 11:00:00+00:00,171,Low
2019-09-27 11:00:00+00:00,127,Low
